ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=1, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 16:54:24.617]
ERROR: NewMaster - No matching master record for trans key User [updateCode=U, key=1, firstName=, familyName=, age=null, timeStamp=2014-04-04 16:54:24.644]
ERROR: NewMaster - No matching master record for trans key User [updateCode=U, key=1, firstName=Albas, familyName=Kim, age=10, timeStamp=2014-04-04 16:54:24.647]
ERROR: NewMaster - No matching master record for trans key User [updateCode=U, key=1, firstName=, familyName=, age=null, timeStamp=2014-04-04 16:54:24.682]
ERROR: NewMaster - Duplicate record Key User [updateCode=I, key=2, firstName=, familyName=, age=null, timeStamp=2014-04-04 16:54:24.645]
ERROR: NewMaster - No matching master record for trans key User [updateCode=U, key=3, firstName=Bush, familyName=Cheon, age=37, timeStamp=2014-04-04 16:54:24.585]
ERROR: NewMaster - No matching master record for trans key User [updateCode=U, key=3, firstName=Pea, familyName=Park, age=29, timeStamp=2014-04-04 16:54:24.620]
ERROR: NewMaster - No matching master record for trans key User [updateCode=U, key=3, firstName=Han, familyName=Hong, age=25, timeStamp=2014-04-04 16:54:24.621]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=3, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 16:54:24.651]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=3, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 16:54:24.686]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=5, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 16:54:24.590]
ERROR: NewMaster - No matching master record for trans key User [updateCode=U, key=5, firstName=, familyName=, age=null, timeStamp=2014-04-04 16:54:24.655]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=6, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 16:54:24.627]
ERROR: NewMaster - No matching master record for trans key User [updateCode=U, key=7, firstName=Pea, familyName=Park, age=29, timeStamp=2014-04-04 16:54:24.594]
ERROR: NewMaster - No matching master record for trans key User [updateCode=U, key=7, firstName=Few, familyName=Lee, age=22, timeStamp=2014-04-04 16:54:24.625]
ERROR: NewMaster - No matching master record for trans key User [updateCode=U, key=7, firstName=Little, familyName=Koo, age=19, timeStamp=2014-04-04 16:54:24.630]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=7, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 16:54:24.690]
ERROR: NewMaster - Duplicate record Key User [updateCode=I, key=8, firstName=Han, familyName=Hong, age=25, timeStamp=2014-04-04 16:54:24.592]
ERROR: NewMaster - Duplicate record Key User [updateCode=I, key=8, firstName=Little, familyName=Koo, age=19, timeStamp=2014-04-04 16:54:24.631]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=9, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 16:54:24.629]
ERROR: NewMaster - No matching master record for trans key User [updateCode=U, key=9, firstName=Bush, familyName=Cheon, age=37, timeStamp=2014-04-04 16:54:24.657]
ERROR: NewMaster - No matching master record for trans key User [updateCode=U, key=10, firstName=Hekin, familyName=Kwon, age=13, timeStamp=2014-04-04 16:54:24.636]
ERROR: NewMaster - Duplicate record Key User [updateCode=I, key=12, firstName=Hekin, familyName=Kwon, age=13, timeStamp=2014-04-04 16:54:24.600]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=13, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 16:54:24.606]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=14, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 16:54:24.604]
ERROR: NewMaster - No matching master record for trans key User [updateCode=U, key=14, firstName=Albas, familyName=Kim, age=10, timeStamp=2014-04-04 16:54:24.608]
ERROR: NewMaster - No matching master record for trans key User [updateCode=U, key=14, firstName=, familyName=, age=null, timeStamp=2014-04-04 16:54:24.639]
ERROR: NewMaster - Duplicate record Key User [updateCode=I, key=16, firstName=, familyName=, age=null, timeStamp=2014-04-04 16:54:24.579]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=17, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 16:54:24.612]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=17, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 16:54:24.615]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=18, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 16:54:24.680]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=19, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 16:54:24.641]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=19, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 16:54:24.646]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=1, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 17:14:51.368]
ERROR: NewMaster - Duplicate record Key User [updateCode=I, key=2, firstName=Albas, familyName=Kim, age=10, timeStamp=2014-04-04 17:14:51.398]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=2, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 17:14:51.435]
ERROR: NewMaster - Duplicate record Key User [updateCode=I, key=4, firstName=Pea, familyName=Park, age=29, timeStamp=2014-04-04 17:14:51.340]
ERROR: NewMaster - No matching master record for trans key User [updateCode=D, key=5, firstName=null, familyName=null, age=null, timeStamp=2014-04-04 17:14:51.378]
ERROR: NewMaster - Duplicate record Key User [updateCode=I, key=7, firstName=Few, familyName=Lee, age=22, timeStamp=2014-04-04 17:14:51.377]
ERROR: NewMaster - Duplicate record Key User [updateCode=I, key=8, firstName=Han, familyName=Hong, age=25, timeStamp=2014-04-04 17:14:51.344]
